id,store,brand,sku,name_ar,name_en,category,subcategory,price_sar,previous_price_sar,availability,dimensions,style_tags,tier,product_url,source_checked_at,needs_live_recheck
ikea-sa-s39625105,IKEA Saudi Arabia,IKEA,S396.251.05,دولاب PLATSA بثلاثة أبواب و6 أدراج,PLATSA Wardrobe with 3 doors and 6 drawers,storage,wardrobe,3115,3185,unknown,300×57×181 سم,white|modular|large-storage,luxury,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-3-doors-6-drawers-white-fonnes-white-s39625105/,2026-07-16,True
ikea-sa-s19615452,IKEA Saudi Arabia,IKEA,S196.154.52,دولاب PLATSA بثلاثة أبواب,PLATSA Wardrobe with 3 doors,storage,wardrobe,1815,1885,unknown,180×57×181 سم,white|modular|clean,balanced,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-3-doors-white-fonnes-white-s19615452/,2026-07-16,True
ikea-sa-s19561430,IKEA Saudi Arabia,IKEA,S195.614.30,دولاب PAX / MEHAMN / AULI بمرآة,PAX / MEHAMN / AULI Wardrobe with mirror glass,storage,mirrored-wardrobe,5295,5395,unknown,250×66×201 سم,mirror|oak-effect|premium,luxury,https://www.ikea.com/sa/en/p/pax-mehamn-auli-wardrobe-white-double-sided-white-stained-oak-effect-mirror-glass-s19561430/,2026-07-16,True
ikea-sa-70453762,IKEA Saudi Arabia,IKEA,704.537.62,دولاب RAKKESTAD بثلاثة أبواب,RAKKESTAD Wardrobe with 3 doors,storage,wardrobe,799,,unknown,117×176 سم,dark-wood|compact|modern,economic,https://www.ikea.com/sa/en/p/rakkestad-wardrobe-with-3-doors-black-brown-70453762/,2026-07-16,True
ikea-sa-00441758,IKEA Saudi Arabia,IKEA,004.417.58,دولاب KLEPPSTAD بثلاثة أبواب,KLEPPSTAD Wardrobe with 3 doors,storage,wardrobe,699,,unknown,117×55×176 سم,white|budget|simple,economic,https://www.ikea.com/sa/en/p/kleppstad-wardrobe-with-3-doors-white-00441758/,2026-07-16,True
ikea-sa-s99502328,IKEA Saudi Arabia,IKEA,S995.023.28,دولاب PAX / BERGSBO أبيض,PAX / BERGSBO Wardrobe white,storage,wardrobe,3090,,unknown,150×60×201 سم,white|classic|modular,luxury,https://www.ikea.com/sa/en/p/pax-bergsbo-wardrobe-white-white-s99502328/,2026-07-16,True
ikea-sa-60481647,IKEA Saudi Arabia,IKEA,604.816.47,مرتبة فوم ÅKREHAMN صلبة,ÅKREHAMN Foam mattress firm,mattresses,foam-mattress,1495,,unknown,160×200 سم,foam|firm|white,balanced,https://www.ikea.com/sa/en/p/akrehamn-foam-mattress-firm-white-60481647/,2026-07-16,True
ikea-sa-00450502,IKEA Saudi Arabia,IKEA,004.505.02,مرتبة نوابض منفصلة VESTERÖY صلبة,VESTERÖY Pocket sprung mattress firm,mattresses,pocket-sprung-mattress,529,,unknown,90×200 سم,pocket-spring|firm|value,economic,https://www.ikea.com/sa/en/p/vesteroey-pocket-sprung-mattress-firm-light-blue-00450502/,2026-07-16,True
ikea-sa-90476404,IKEA Saudi Arabia,IKEA,904.764.04,مرتبة نوابض منفصلة VATNESTRÖM صلبة,VATNESTRÖM Pocket sprung mattress firm,mattresses,pocket-sprung-mattress,3595,,unknown,160×200 سم,premium|pocket-spring|natural,luxury,https://www.ikea.com/sa/en/p/vatnestroem-pocket-sprung-mattress-firm-natural-90476404/,2026-07-16,True
ikea-sa-s29572372,IKEA Saudi Arabia,IKEA,S295.723.72,مرتبة VALEVÅG مع طبقة علوية,VALEVÅG Mattress and mattress pad firm,mattresses,mattress-set,1144,,available,90×200 سم,firm|mattress-pad|light-blue,balanced,https://www.ikea.com/sa/en/p/valevag-mattress-and-mattress-pad-firm-light-blue-nisseholm-white-s29572372/,2026-07-16,True
ikea-sa-s99544781,IKEA Saudi Arabia,IKEA,S995.447.81,سرير MALM مع مرتبة VESTERÖY,MALM Bed frame with VESTERÖY mattress,bedroom,bed-and-mattress-set,2128,2148,unknown,160×200 سم,white|complete-set|modern,balanced,https://www.ikea.com/sa/en/p/malm-bed-frame-with-mattress-white-vesteroey-extra-firm-s99544781/,2026-07-16,True
